Restaurant name,Rating,Reviews,Location,Cuisine,Yelp Link
Bourbon and Branch,4.4 ,179,Midtown West,"Bars, Venues & Event Spaces, American",https://www.yelp.com/biz/bourbon-and-branch-new-york-city
Da Andrea - Chelsea,4.7 ,440,Chelsea,"Italian, Wine Bars, Cocktail Bars, Romantic, Classy",https://www.yelp.com/biz/da-andrea-chelsea-new-york-3
Lolita,4.3 ,85,Midtown West,"Cocktail Bars, Mexican, Breakfast & Brunch, Classy, Romantic",https://www.yelp.com/biz/lolita-new-york
Carne Mare,4.4 ,322,South Street Seaport,"Steakhouses, Italian, Seafood, Upscale, Trendy",https://www.yelp.com/biz/carne-mare-new-york-5
Raku,4.5 ,1.1k,South Village,"Japanese, Noodles, Casual, Trendy",https://www.yelp.com/biz/raku-new-york-6
Little Collins,4.4 ,1.3k,Midtown East,"Coffee & Tea, Breakfast & Brunch, Sandwiches, Casual",https://www.yelp.com/biz/little-collins-new-york-3
Cafe Mogador,4.4 ,1.5k,Williamsburg - North Side,"Moroccan, Breakfast & Brunch, Mediterranean, Casual, Hipster",https://www.yelp.com/biz/cafe-mogador-brooklyn
Don Angie,4.5 ,970,West Village,"Italian, New American, Intimate, Classy",https://www.yelp.com/biz/don-angie-new-york
Shukette,4.5 ,534,Chelsea,"Middle Eastern, Trendy, Hipster",https://www.yelp.com/biz/shukette-new-york
Obao,4.0 ,4.4k,Midtown West,"Vietnamese, Thai, Asian Fusion, Trendy, Casual",https://www.yelp.com/biz/obao-new-york-3
Obao,4.0 ,4.4k,Midtown West,"Vietnamese, Thai, Asian Fusion, Trendy, Casual",https://www.yelp.com/biz/obao-new-york-3
Konban,4.4 ,330,Chelsea,"Izakaya, Trendy, Intimate",https://www.yelp.com/biz/konban-new-york
Nubiani,4.5 ,376,Koreatown,"Korean, Barbeque, Classy, Upscale",https://www.yelp.com/biz/nubiani-new-york
Debajo,4.4 ,93,Flatiron,"Tapas Bars, Spanish, Tapas/Small Plates, Trendy",https://www.yelp.com/biz/debajo-new-york-2
nonono,4.3 ,1.3k,Midtown East,"Izakaya, Cocktail Bars, Trendy, Casual",https://www.yelp.com/biz/nonono-new-york-6
Wah Fung No 1,4.4 ,2.3k,Lower East Side,"Fast Food, Cantonese, Casual, Divey",https://www.yelp.com/biz/wah-fung-no-1-new-york-2
Da Claudio,4.3 ,680,Financial District,"Italian, Cocktail Bars, Seafood, Casual, Trendy",https://www.yelp.com/biz/da-claudio-new-york
Barbalu - Brooklyn,4.4 ,132,Cobble Hill,"Italian, Pizza, Bars, Casual, Romantic",https://www.yelp.com/biz/barbalu-brooklyn-brooklyn
Joe’s Shanghai,3.8 ,7.5k,Chinatown,"Shanghainese, Seafood, Noodles, Casual, Touristy",https://www.yelp.com/biz/joes-shanghai-new-york-2
Tonchin,4.4 ,2.3k,Midtown West,"Ramen, Cocktail Bars, Chicken Wings, Casual, Trendy",https://www.yelp.com/biz/tonchin-new-york-5
