Restaurant name,Star Rating,Star Text,Number of Review,Price,Cuisine,Booked Today,Extra Text,Opentable URL
The Butcher's Daughter - Nolita,4.4,Awesome,68,Moderate,"American, NoLita",Booked 52 times today,Oh my there vegan pizza is so good. My boyfriend has a dairy allergy so we can’t eat out much. We get scared to order but when I found this place and the server acknowledged they have options for him. We got super happy. Food was delicious and we will be back: thank you!,https://www.opentable.com/r/the-butchers-daughter-nolita-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Pera Soho,4.4,Awesome,1754,Expensive,"Mediterranean, SoHo",Booked 36 times today,interesting and delicious food.  maitress d' and wait staff welcoming and helpful.,https://www.opentable.com/r/pera-soho-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Olio e Più,4.7,Exceptional,4215,Moderate,"Italian, West Village",Booked 116 times today,great food and ambience. Service was efficient and quick and very friendly.,https://www.opentable.com/olio-e-piu?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Local 92 - Soho,4.4,Awesome,227,Moderate,"Mediterranean, NoLita",Booked 12 times today,It was perfect. Great menu and staff. Everything was wonderful,https://www.opentable.com/r/local-92-soho-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Westville Wall Street,4.7,Exceptional,239,Moderate,"American, Financial District",Booked 10 times today,"When food in the city has become so expensive and so hype-y, I can always count on Westville for an amazing meal with great service.",https://www.opentable.com/r/westville-wall-street-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Sofia's of Little Italy,4.4,Awesome,69,Moderate,"Italian, Little Italy",Booked 3 times today,Overall an excellent experience! I would def reccomend to people and would absolutely go back. Food was fantastic!,https://www.opentable.com/r/sofias-of-little-italy-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Industry Kitchen,4.7,Exceptional,2031,Moderate,"American, South Street Seaport",Booked 11 times today,Excellent Business Lunch! Food was amazing! Tuna Nachos are my fav!,https://www.opentable.com/r/industry-kitchen-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Da Nico Restaurant - Manhattan,4.7,Exceptional,1867,Moderate,"Italian, Little Italy",Booked 40 times today,The food was delicious.  And the cappuccinos are amazing.  Would totally recommend.,https://www.opentable.com/r/da-nico-restaurant-manhattan?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Wayan NYC,4.4,Awesome,9,Moderate,"Indonesian, NoLita",Booked 3 times today,Food is great except their signature. Great drink. Very loud inside the restaurant. Nice decoration.,https://www.opentable.com/r/wayan-nyc-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Poco,4.7,Exceptional,649,Moderate,"Tapas / Small Plates, East Village",Booked 7 times today,Avery was AMAZING!! We had a great time at brunch!! Food was incredible and so were the drinks!,https://www.opentable.com/r/poco?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
